gate_length_nm,gate_drain_spacing_um,barrier_thickness_nm,al_fraction,vth_V,gm_max_S_per_mm,ss_mV_per_dec,dibl_mV_per_V,ion_A_per_mm,ioff_A_per_mm,ion_ioff_ratio,ron_sp_ohm_mm,breakdown_V,baliga_fom_V2_per_ohm_mm
100.0,1.0,15.0,0.2,-3.7997743862430697,0.5711862930640985,66.90770656954085,92.99999999999994,1.7948727238497664,1e-06,1794872.7238497664,0.8615847443328548,330.0,126394.99563600539
100.0,1.0,15.0,0.25,-4.8539873522838874,0.5699338453782918,66.90770656954085,93.00000000000004,1.7909370823430197,1e-06,1790937.0823430198,0.6665924473641668,330.0,163368.18760940255
100.0,1.0,15.0,0.3,-5.91293579007344,0.5686812094622038,66.90770656954085,93.00000000000004,1.7870008502123087,1e-06,1787000.8502123088,0.547001333440284,330.0,199085.43790028727
100.0,1.0,20.0,0.2,-5.290927414063414,0.4345770875482506,69.2887637428341,123.00000000000009,1.3037821718420943,1e-06,1303782.1718420943,0.8252418491139111,330.0,131961.3154821577
100.0,1.0,20.0,0.25,-6.680999401407721,0.43361644945678773,69.2887637428341,123.00000000000009,1.3009001447778208,1e-06,1300900.144777821,0.6519959833216101,330.0,167025.56884661494
100.0,1.0,20.0,0.3,-8.07620539977455,0.4326557012767311,69.28876374283412,123.00000000000009,1.2980177880496906,1e-06,1298017.7880496907,0.5435509019406233,330.0,200349.22140906702
100.0,1.0,25.0,0.2,-6.782080441883759,0.3504138755662257,71.66982091612738,152.99999999999994,1.0014961096972574,1e-06,1001496.1096972575,0.8148257960818216,330.0,133648.1988219537
100.0,1.0,25.0,0.25,-8.508011450531557,0.34963544036251804,71.66982091612738,152.99999999999994,0.9992713125153537,1e-06,999271.3125153538,0.6537825777562889,330.0,166569.13736326995
100.0,1.0,25.0,0.3,-10.23947500947566,0.34885693324018374,71.66982091612738,153.00000000000014,0.9970463097289817,1e-06,997046.3097289817,0.5520122610912535,330.0,197278.2267276445
100.0,2.0,15.0,0.2,-3.7997743862430697,0.5711862931749321,66.90770656954085,92.99999999999994,1.7948727238525368,1e-06,1794872.7238525369,1.2712310396915336,660.0,342659.97792635637
100.0,2.0,15.0,0.25,-4.8539873522838874,0.569933845281275,66.90770656954085,93.00000000000004,1.7909370823466568,1e-06,1790937.0823466568,0.9781273058117246,660.0,445340.8031979088
100.0,2.0,15.0,0.3,-5.91293579007344,0.5686812095823632,66.90770656954085,93.00000000000004,1.7870008502138113,1e-06,1787000.8502138113,0.7981214659763625,660.0,545781.5865998784
100.0,2.0,20.0,0.2,-5.290927414063414,0.4345770875877412,69.2887637428341,123.00000000000009,1.303782171841107,1e-06,1303782.1718411068,1.2077478849110304,660.0,360671.30022926
100.0,2.0,20.0,0.25,-6.680999401407721,0.4336164493545806,69.2887637428341,123.00000000000009,1.300900144779098,1e-06,1300900.144779098,0.9467440969661333,660.0,460103.21204630885
100.0,2.0,20.0,0.3,-8.07620539977455,0.4326557013394809,69.28876374283412,123.00000000000009,1.298017788048123,1e-06,1298017.788048123,0.7829420580060927,660.0,556363.009938866
100.0,2.0,25.0,0.2,-6.782080441883759,0.3504138755251808,71.66982091612738,152.99999999999994,1.0014961096941792,1e-06,1001496.1096941793,1.181622942014043,660.0,368645.51669717254
100.0,2.0,25.0,0.25,-8.508011450531557,0.3496354404152203,71.66982091612738,152.99999999999994,0.9992713125114013,1e-06,999271.3125114014,0.9381911752405818,660.0,464297.6948576589
100.0,2.0,25.0,0.3,-10.23947500947566,0.3488569331758463,71.66982091612738,153.00000000000014,0.9970463097241561,1e-06,997046.3097241562,0.7836888727213769,660.0,555832.8249415733
100.0,3.0,15.0,0.2,-3.7997743862430697,0.5711862931195042,66.90770656954085,92.99999999999994,1.7948727238511513,1e-06,1794872.7238511513,1.6812365056076275,990.0,582963.7869097871
100.0,3.0,15.0,0.25,-4.8539873522838874,0.5699338453055278,66.90770656954085,93.00000000000004,1.790937082344839,1e-06,1790937.0823448391,1.2901358454138416,990.0,759687.4418178883
100.0,3.0,15.0,0.3,-5.91293579007344,0.5686812094622038,66.90770656954085,93.00000000000004,1.7870008502100558,1e-06,1787000.850210056,1.0498297912536347,990.0,933579.9080626506
100.0,3.0,20.0,0.2,-5.290927414063414,0.4345770875482506,69.2887637428341,123.00000000000009,1.303782171843575,1e-06,1303782.171843575,1.5909744266072732,990.0,616037.5576180989
100.0,3.0,20.0,0.25,-6.680999401407721,0.43361644945678773,69.2887637428341,123.00000000000009,1.3009001447797375,1e-06,1300900.1447797376,1.2424253135507954,990.0,788860.2955125878
100.0,3.0,20.0,0.3,-8.07620539977455,0.4326557013708114,69.28876374283412,123.00000000000009,1.2980177880473387,1e-06,1298017.7880473388,1.0234754016156755,990.0,957619.4976965715
100.0,3.0,25.0,0.2,-6.782080441883759,0.3504138755662257,71.66982091612738,152.99999999999994,1.0014961096957182,1e-06,1001496.1096957183,1.549671546548665,990.0,632456.6016475037
100.0,3.0,25.0,0.25,-8.508011450531557,0.34963544036251804,71.66982091612738,152.99999999999994,0.9992713125133775,1e-06,999271.3125133775,1.2241972544676223,990.0,800606.2719248827
100.0,3.0,25.0,0.3,-10.23947500947566,0.34885693324018374,71.66982091612738,153.00000000000014,0.9970463097265688,1e-06,997046.3097265689,1.0172945641555637,990.0,963437.7637843388
100.0,4.0,15.0,0.2,-3.7997743862430697,0.5674207943716778,66.90770656954085,92.99999999999994,1.7948727238503204,1e-06,1794872.7238503206,2.0913854690857527,1320.0,833131.9241505913
100.0,4.0,15.0,0.25,-4.8539873522838874,0.5699338453200773,66.90770656954085,93.00000000000004,1.7909370823466575,1e-06,1790937.0823466575,1.6023338763088224,1320.0,1087413.819155991
100.0,4.0,15.0,0.3,-5.91293579007344,0.5686812094622093,66.90770656954085,93.00000000000004,1.7870008502114076,1e-06,1787000.8502114078,1.3017739105672343,1320.0,1338481.2722516211
100.0,4.0,20.0,0.2,-5.290927414063414,0.434577087571915,69.2887637428341,123.00000000000009,1.3037821718426859,1e-06,1303782.171842686,1.9744894375120587,1320.0,882455.9741355206
100.0,4.0,20.0,0.25,-6.680999401407721,0.4336164493954368,69.2887637428341,123.00000000000009,1.3009001447801205,1e-06,1300900.1447801206,1.5384814524740087,1320.0,1132545.3402106818
100.0,4.0,20.0,0.3,-8.07620539977455,0.43265570131438985,69.28876374283412,123.00000000000009,1.2980177880506318,1e-06,1298017.788050632,1.2644700062357388,1320.0,1377968.6282848525
